artist_id,album_title,genre,Popularity,mtv_critic,Number_of_times_listened,Watch_time
1767,Call me Cat Moneyless That Doggies,Folk,905193,1.5,10,10
23548,Down Mare,Metal,969122,4,3,10
17822,Embarrassed Hungry,Latino,522095,1,10,6
19565,Standard Immediate Engineer Slovakia,Pop,610116,2,6,7
24941,Decent Distance Georgian,Black Metal,151111,2.5,2,2
1988,Tall,Progressive,537615,1.5,3,6
43032,Steel Patrol Officer The Queen Panda Pleasant,Pop-Rock,254802,2,10,3
648,kneel Llama Hanger Uzbekistan Relax,Retro,488696,5,7,5
23007,Life Of A King,Pop,449375.0392,2.736308725,8,5
19441,Lovers Totally Manager,Latino,239081,2,5,3
13687,Rock,Western,531099,1,4,6
42331,Boring Tetum Living On A Prayer Bandicoot Malay,K-Pop,164412,3.5,4,2
5630,Crying for the Of Love Zeus,Indie,395487,5,4,4
40571,Bonjour Damoiselle Belle,Lounge,229540,1,1,3
11023,Gabby Orange Bird,J-Rock,565346,1.5,9,6
5242,Information Miami Dream France Blue,Western,229870,0.5,10,3
19825,Permit Robbers,Hard Rock,237665,1.5,2,3
48831,Pies Face Hanger Panda,Unplugged,551170,3,10,6
23087,Of Loves Flippin,J-Rock,327052,2.5,2,4
26338,Barbie Boring,Pop-Rock,349194,1.5,2,4
10563,Dental Hygienist Don't Talk to,Jazz,539238,2,3,6
30707,To my Beloved And Lucky Desperate,Trap,172556,4,6,2
27322,Practical,K-Pop,466981,4,6,5
24422,Life Of A Queen,Retro,165557,3.5,7,2
37924,Saudi Audi,Lounge,833311,4.5,2,9
37393,Entertaining,Pop,430186,2.5,5,5
48946,Turkish Georgian,Ambient,177322,4.5,4,2
13413,Morgan The Delightful Heroes of Wales I'll Former Daihatsu,Rap,444811,4.5,4,5
24452,Confident,Lounge,765393,2,9,8
25468,Ferret Past Good,Heavy Metal,564423,3.5,7,6
42819,Try Cadillac,Pop,953494,4,7,10
31148,Direful A Wild,Latino,749968,1,10,8
9232,Dancing Cow Of,Dance,15211,0.5,8,1
41981,Of Singapore Of Finding Weak,Retro,498303,1,2,5
40999,Gonna Bison Of Believe In the Sky,Alternative,422751,5,2,5
18124,Algerian Candy,Death Metal,77769,1.5,6,1
9199,Next to Matteo Reasonable Able Jamila,Trap,547414,4.5,9,6
35347,Entertaining Time,Death Metal,583635,3.5,10,6
18716,Ride I'm Brash,Pop,981505,2,1,10
25153,Latter Finding,Heavy Metal,902314,4.5,8,10
29469,RAM Trucks I used to,Live,609209,4.5,8,7
15326,RAM Trucks Eland Headless Chicken Useful,K-Pop,494751,3.5,9,5
