artist_id,album_title,genre,Popularity,mtv_critic,Number_of_times_listened,Watch_time
1767,Call me Cat Moneyless That Doggies,Folk,905193,1.5,10,10
23548,Down Mare,Metal,969122,4,6,10
17822,Embarrassed Hungry,Latino,522095,1,5,6
19565,Standard Immediate Engineer Slovakia,Pop,610116,2,7,7
24941,Decent Distance Georgian,Black Metal,151111,2.5,1,2
1988,Tall,Progressive,537615,1.5,4,6
43032,Steel Patrol Officer The Queen Panda Pleasant,Pop-Rock,254802,2,2,3
648,kneel Llama Hanger Uzbekistan Relax,Retro,488696,5,8,5
19441,Lovers Totally Manager,Latino,239081,2,6,3
13687,Rock,Western,531099,1,8,6
42331,Boring Tetum Living On A Prayer Bandicoot Malay,K-Pop,164412,3.5,2,2
5630,Crying for the Of Love Zeus,Indie,395487,5,4,4
40571,Bonjour Damoiselle Belle,Lounge,229540,1,3,3
11023,Gabby Orange Bird,J-Rock,565346,1.5,9,6
5242,Information Miami Dream France Blue,Western,229870,0.5,2,3
19825,Permit Robbers,Hard Rock,237665,1.5,3,3
48831,Pies Face Hanger Panda,Unplugged,551170,3,7,6
23087,Of Loves Flippin,J-Rock,327052,2.5,3,4
26338,Barbie Boring,Pop-Rock,349194,1.5,5,4
10563,Dental Hygienist Don't Talk to,Jazz,539238,2,9,6
30707,To my Beloved And Lucky Desperate,Trap,172556,4,6,2
27322,Practical,K-Pop,466981,4,2,5
24422,Life Of A Queen,Retro,165557,3.5,5,2
37924,Saudi Audi,Lounge,833311,4.5,2,9
37393,Entertaining,Pop,430186,2.5,7,5
48946,Turkish Georgian,Ambient,177322,4.5,4,2
13413,Morgan The Delightful Heroes of Wales I'll Former Daihatsu,Rap,444811,4.5,3,5
24452,Confident,Lounge,765393,2,7,8
25468,Ferret Past Good,Heavy Metal,564423,3.5,10,6
42819,Try Cadillac,Pop,953494,4,2,10
31148,Direful A Wild,Latino,749968,1,3,8
9232,Dancing Cow Of,Dance,15211,0.5,8,1
41981,Of Singapore Of Finding Weak,Retro,498303,1,6,5
40999,Gonna Bison Of Believe In the Sky,Alternative,422751,5,4,5
18124,Algerian Candy,Death Metal,77769,1.5,5,1
9199,Next to Matteo Reasonable Able Jamila,Trap,547414,4.5,9,6
35347,Entertaining Time,Death Metal,583635,3.5,7,6
18716,Ride I'm Brash,Pop,981505,2,6,10
25153,Latter Finding,Heavy Metal,902314,4.5,9,10
29469,RAM Trucks I used to,Live,609209,4.5,10,7
15326,RAM Trucks Eland Headless Chicken Useful,K-Pop,494751,3.5,9,5
38798,Matteo Noodles,Blues,499069,2.5,5,5
112,Financial Latter,Compilation,635575,4,5,7
18691,Pharmacist Final Form,Gospel,807633,5,1,9
5997,Don't Forget the,Metal,853478,2,4,9
9610,Pies Sufficient Hare,Ambient,222783,0.5,6,3
27676,Song More,Country,444808,3,4,5
25344,Interesting Pure Important Camel Adventure of the,Metal,737881,5,6,8
5436,Nice Federal Sandwiches Existing Southern,Jazz,507873,5,2,6
49539,Butter,Black Metal,212345,4,4,3
28263,Mister Sing My Asset Yellow,Pop,916873,2,1,10
3664,Ampelmann Hear Psychedelic For Us,Pop-Rock,44603,2,8,1
19380,Bertie Said Lion Music Shaggy,Deep House,754243,3,8,8
37637,Electrical Alan On a My Cause,Indie,911157,4,1,10
14282,That's My Ultra-Maximus Lamb,Black Metal,980691,3.5,10,10
27216,Jinyu,Blues,268349,5,10,3
15372,East Timor Educational,Ambient,631337,4,3,7
4412,Ride You Biker Beer,Hard Rock,295464,5,1,3
11235,Mathematician Behind Italian Sports,Pop,894973,5,7,9
7355,Terrible Bear In the Sky Able Jamila,Lounge,977546,2,4,10
45552,White Eat Drink and Be Merry,Pop,340630,4.5,5,4
21413,Garden,Trap,959731,4,3,10
15112,Inside My,Lounge,193097,1,3,2
22284,Eastern Tree Jordan,Pop,332163,4,10,4
14327,Rupert Incredible Practical Gentle Relax,Blues,562963,4,6,6
21382,Shy Estar,Brit-Pop,848426,3.5,8,9
13739,Obvious Listen Afraid So Intuitive Pakistan,Indie,416729,3.5,7,5
29614,Ambra Inside Out,Parody,212667,2,6,3
33675,Falling Believe,Heavy Metal,58206,3.5,8,1
13353,Good Ugly Of Love,Parody,589278,0.5,2,6
17330,Guttural Gentle,Heavy Metal,63276,2,4,1
